"siteID","monthyear","sitemonthyear","plotID","easting","northing","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgaps.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop"
"BONA","2017-08","BONA2017-08","BONA_003","477241.564","7230951.278","0.861214600377596","7.139","1.71452260905293","92","0.0547293277810827","0.945270672218917","1.24809932167437","18.9881117372523","0.972594827530234","0.668829748787231","0.934820705600778","10.724166597209",NA
"BONA","2018-07","BONA2018-07","BONA_019","477481.873","7230651.968","2.11302127659574","6.769","2.29514084714561","83","0.0493753718024985","0.950624628197501","1.66611723311643","11.4010765986282","1.01821460287475","0.57135668537855","0.895452222754479","9.64480542715656",NA
"BONA","2018-07","BONA2018-07","BONA_007","479192.127","7230113.172","12.4474667085427","15.765","1.61169862253043","89","0.0529446757882213","0.947055324211779","1.40716264621661","13.6307966185533","2.62926722463641","0.652024497123816","0.892149541004241","14.3296964605793",NA
"BONA","2018-07","BONA2018-07","BONA_021","478591.815","7225431.467","1.4601625","13.57","1.59286882605524","81","0.0481856038072576","0.951814396192742","2.82027378036537","11.390676464883","0.618177012183051","0.617267627442273","0.883201492179036","14.6628390290147",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_036","632062.408","3696264.855","1.76826952141058","10.328","1.55210489588152","93","0.0553242117787032","0.944675788221297","2.85806261758769","3.76886860622889","1.54850278866027","0.417936998706209","0.746401765645436","15.9632775683859",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_042","630441.76","3693354.515","7.25258985879332","12.838","2.04140748033572","123","0.0731707317073171","0.926829268292683","2.94220343603845","4.11996034569275","1.72728735987382","0.478703721026151","0.76504135588312","10.8495998956118",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_031","630681.931","3693772.963","0.115627659574468","3.241","1.0139536355098","83","0.0493753718024985","0.950624628197501","0.151689825109027","1.51855237493534","0.42546679732769","0.321200219260631","0.632020366806117","15.4274004999622",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_051","630742.157","3693145.145","5.80754385964912","13.534","1.79616202909051","85","0.0505651397977394","0.949434860202261","3.61585533683026","4.86034240208367","1.36681547090344","0.511090788481798","0.801425003908307","14.5398183719063",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_058","632242.239","3693715.404","9.99442712933754","14.665","1.74699101290524","96","0.0571088637715645","0.942891136228435","2.56706613329753","4.54856958003355","2.24246820998614","0.497946552855295","0.791679135193917","9.04281916378532",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_055","632691.673","3687774.215","0.0802289308176101","0.289","1.00226092161874","91","0.0541344437834622","0.945865556216538","0.0395700832030498","3.4383399339677","1.2002698579543","0.427282302525629","0.776447755217478","7.92821465091017",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_034","632391.857","3687804.606","0.203290383406662","6.113","1.03696877465194","90","0.0535395597858418","0.946460440214158","0.527138364423503","1.91109938570646","0.0515448256199473","0.351884534792839","0.68918167634121","9.24537713289818",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_039","631822.133","3688703.552","1.52076075949367","9.287","1.48108406867541","101","0.0600832837596669","0.939916716240333","2.38227355490845","5.1709269612344","1.47722663543591","0.499171146681167","0.778936254017762","16.7523382742467",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_046","631731.495","3696924.926","7.93438165490699","13.507","1.85467900435019","122","0.0725758477096966","0.927424152290303","2.95011650124772","4.48230569006321","1.6194581024144","0.508109800774903","0.7483605841973","14.0742999253103",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_040","625882.127","3694102.735","5.64915703517588","12.534","1.99211112302055","89","0.0529446757882213","0.947055324211779","2.78953068991576","4.05987581645472","1.0833603099274","0.476940407074321","0.800746902511281","9.17144610210514",NA
"CLBJ","2017-05","CLBJ2017-05","CLBJ_057","626393.231","3693444.288","7.51378986866792","12.522","1.90863080746375","82","0.0487804878048781","0.951219512195122","2.43582312473446","5.65362335225229","1.48100809216396","0.531354504268578","0.835579019786695","10.1721135691556",NA
