uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"c5d41195-c98d-4dc8-8b54-e032472fbbc0","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BC","D16_WREF_PIT1_BIOGEO_80-94_BC","BC",1.0,"Regular","2017-09-26","2017-09-26",5.4,0.80,0.70,5.0,1.039,100758,16630,46661,9019,8756,485,21164,561,256446,328,6071,106,5.5,5.8,0.01,,,0.0,0.1,0.0,0.0,10.1,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",80.0,94.0,87.0,
"46c96ddd-9ccd-4874-ad7f-d1ff64498658","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","D16_WREF_PIT1_BIOGEO_9-50_AC","Ac",1.0,"Regular","2017-09-26","2017-09-26",15.4,1.00,0.20,15.0,1.028,90936,14799,45509,9236,7926,543,19342,874,237657,296,6287,111,4.8,5.4,0.03,,,0.0,0.2,0.0,0.0,16.0,83,0.2,1,1.2,1.0,,6.9,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",9.0,50.0,29.5,
"9774ae4b-1102-4c5e-929a-bd028a46ad58","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3AB","D16_WREF_PIT1_BIOGEO_162-178_3AB","3AB",1.0,"Regular","2017-09-26","2017-09-26",4.7,0.50,0.50,5.0,1.031,116810,28790,27903,6645,7050,426,30605,400,268288,516,4262,36,5.9,5.7,0.02,,,0.0,0.0,0.0,0.0,5.5,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",162.0,178.0,170.0,
"6b859fc5-2712-4091-8844-a55bb260a3c0","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C1","D16_WREF_PIT1_BIOGEO_94-136_2C1","2C1",1.0,"Regular","2017-09-26","2017-09-26",4.4,0.60,0.90,4.0,1.041,91560,20917,36740,5076,6558,462,27869,545,259123,437,5271,64,5.9,5.7,0.02,,,0.0,0.1,0.0,0.0,8.1,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",94.0,136.0,115.0,
"2b1b1612-19bb-4bb5-b5fc-cc159eab47d7","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3CG","D16_WREF_PIT1_BIOGEO_178-200_3CG","3Cg",1.0,"Regular","2017-09-26","2017-09-26",6.0,0.60,0.90,6.0,1.051,98784,16924,33293,7283,6626,362,24686,560,261319,348,4286,60,5.8,5.7,0.02,,,0.0,0.0,0.0,0.0,10.5,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",178.0,200.0,189.0,
"58554f30-fb2d-4a17-a5e3-5cdba6333769","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OA","D16_WREF_PIT1_BIOGEO_3-9_OA","Oa",1.0,"Regular","2017-09-26","2017-09-26",518.5,14.20,1.30,519.0,1.093,11466,4720,4954,2209,1237,261,2381,1001,34632,67,761,15,3.1,3.8,1.40,0,,10.1,1.7,2.3,0.2,100.3,30,14.3,14,20.5,6.2,,178.1,,0.0,0.8,0.8,0.0,0.57,1.5,422.60,0.0,1.3,0.4,0.7,0.0,0.0,2.1,3.7,,0.4,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",3.0,9.0,6.0,
"40157bca-33e7-4ab3-8bb0-2ed6306e736f","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OI","D16_WREF_PIT1_BIOGEO_0-3_OI","Oi",1.0,"Regular","2017-09-26","2017-09-26",555.1,12.20,0.90,555.0,1.089,4703,4832,2125,1825,840,717,853,949,14836,41,309,5,3.5,4.1,1.88,0,,16.2,2.6,3.4,0.1,80.3,6,22.4,28,23.8,1.4,,621.2,,0.0,1.2,0.6,0.0,0.60,0.8,634.70,0.0,1.7,0.6,0.5,0.0,0.0,4.3,4.0,,0.0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",0.0,3.0,1.5,
"ead2b703-7196-4d04-b14b-2596d91a95fa","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BW","D16_WREF_PIT1_BIOGEO_50-80_BW","Bw",1.0,"Regular","2017-09-26","2017-09-26",12.3,1.00,0.30,12.0,1.030,84089,13345,44390,8834,7461,494,18135,656,231747,273,6039,107,4.9,5.5,0.02,,,0.0,0.2,0.0,0.0,11.7,85,0.2,2,1.3,1.1,,4.8,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",50.0,80.0,65.0,
"b2d02b70-2af1-4329-a334-61ac824b7906","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C2","D16_WREF_PIT1_BIOGEO_136-162_2C2","2C2",1.0,"Regular","2017-09-26","2017-09-26",3.0,0.40,0.90,3.0,1.037,103542,28893,32756,3157,6606,388,33215,583,255033,514,4492,51,5.9,5.7,0.02,,,0.0,0.0,0.0,0.0,6.7,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",136.0,162.0,149.0,
"e17d7f7c-cb5c-46a6-936b-0173551bb183","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","D16_WREF_PIT1_BIOGEO_BIOGEO3","Ac",1.0,"Audit","2017-09-26","2017-09-26",15.4,1.20,0.10,15.0,1.026,86119,15671,48079,9592,7373,585,19840,897,245121,307,6524,118,4.7,5.3,0.02,,,0.0,0.2,0.0,0.0,11.5,88,0.2,2,1.6,1.4,,7.8,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",9.0,50.0,29.5,
