Record_number,Ref,Study_number,Country,Region,City,Site_name,Lat,Long,K_ppen_CC,Vegetation,Species,Family,Growth_habit,Senesced_sample_method,MAT,TAP,Elevation,C_green_leaf,C_senesced_leaf,N_green_leaf,N_senesced_leaf,P_green_leaf,P_senesced_leaf,K_green_leaf,K_senesced_leaf,Ca_green_leaf,Ca_senesced_leaf,Mg_green_leaf,Mg_senesced_leaf,Spec_area_green_leaf,Spec_area_senesced_leaf,Area_green_leaf,Area_senesced_leaf,Mass_green_leaf,Mass_senesced_leaf,Leaf_loss,Leaf_shrink
652,Boerner (1984),4,USA,OH,,,39.6,-82.6,C,Forest,Fagus grandifolia,Fagaceae,Tree (deciduous),Litterfall traps cleared every week,10.7,1000,300,,,2.27,0.82,0.13,0.07,,,,,,,,,,,,,,
653,Boerner (1984),4,USA,OH,,,39.6,-82.6,C,Forest,Fagus grandifolia,Fagaceae,Tree (deciduous),Litterfall traps cleared every week,10.7,1000,300,,,2.32,0.82,0.14,0.05,,,,,,,,,,,,,,
680,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Acomastylis rossii,Rosaceae,Forb,Picked from the plant,-3,900,3520,,,2.21,0.9,,,,,,,,,,,,,,,,
681,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Bistorta vivipara,Polygonaceae,Forb,Picked from the plant,-3,900,3520,,,3.83,0.97,,,,,,,,,,,,,,,,
682,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Calamagrostis purpurascens,Poaceae,Graminoid,Picked from the plant,-3,900,3520,,,1.82,0.77,,,,,,,,,,,,,,,,
683,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Carex rupestris,Cyperaceae,Graminoid,Picked from the plant,-3,900,3520,,,1.49,0.79,,,,,,,,,,,,,,,,
684,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Kobresia myosuroides,Cyperaceae,Graminoid,Picked from the plant,-3,900,3520,,,2.42,1.07,,,,,,,,,,,,,,,,
685,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Acomastylis rossii,Rosaceae,Forb,Picked from the plant,-3,900,3520,,,2.67,1.15,,,,,,,,,,,,,,,,
686,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Artemisia scopulorum,Asteraceae,Forb,Picked from the plant,-3,900,3520,,,3.07,1.11,,,,,,,,,,,,,,,,
687,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Bistorta bistotoides,Polygonaceae,Forb,Picked from the plant,-3,900,3520,,,3.38,1.4,,,,,,,,,,,,,,,,
688,Bowman et al. (1995),5,USA,CO,Niwot Ridge,Colorado Rocky Mountains,40.1,-105.6,D,,Deschampsia caespitosa,Poaceae,Graminoid,Picked from the plant,-3,900,3520,,,2.4,1.09,,,,,,,,,,,,,,,,
211,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Alangium chinensis,Alangiaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,3.15,1.2,0.18,0.07,,,,,,,53.5,51.9,126.5,121,676.8,628,7.2,4.3
