uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks
"a08bfc7f-e062-4d40-bd71-a36c2ef5ce53","D13","NIWO","MEGAPT100984","13_NIWOT_PIT1","13_NIWOT_PIT1_BW1","Bw1","2014-08-19","2014-08-19","13_NIWOT_PIT1_ARCHIVE_30-49_BW1","NEON",30.0,49.0,
"43e845e4-d654-4bee-86f4-08e4755dd190","D13","NIWO","MEGAPT100984","13_NIWOT_PIT1","13_NIWOT_PIT1_BW2","Bw2","2014-08-19","2014-08-19","13_NIWOT_PIT1_ARCHIVE_49-79_BW2","NEON",49.0,79.0,
"d24c4320-f4d5-4552-a615-a7489731eb64","D13","NIWO","MEGAPT100984","13_NIWOT_PIT1","13_NIWOT_PIT1_2C/CR","2C/Cr","2014-08-19","2014-08-19","13_NIWOT_PIT1_ARCHIVE_110-200_2C/CR","NEON",110.0,200.0,
"f1670d50-4f8f-4edf-a109-622c8890aea3","D13","NIWO","MEGAPT100984","13_NIWOT_PIT1","13_NIWOT_PIT1_A1","A1","2014-08-19","2014-08-19","13_NIWOT_PIT1_ARCHIVE_0-14_A1","NEON",0.0,14.0,
"9f443651-a44c-4d7e-81d5-d017d9de28b6","D13","NIWO","MEGAPT100984","13_NIWOT_PIT1","13_NIWOT_PIT1_A2","A2","2014-08-19","2014-08-19","13_NIWOT_PIT1_ARCHIVE_14-30_A2","NEON",14.0,30.0,
"524f341f-3a41-4055-bcf1-01f2949e19ca","D13","NIWO","MEGAPT100984","13_NIWOT_PIT1","13_NIWOT_PIT1_2C","2C","2014-08-19","2014-08-19","13_NIWOT_PIT1_ARCHIVE_79-110_2C","NEON",79.0,110.0,
